AvgVelocity,Velocity Inlet,Mass,PressureDrop,Surface Area,X Cell Size,YZ Cell Size
619.6040405,3500,127.0233504,7617.877449,23824.29861,25,17.5
444.3406388,2500,123.0357267,3836.681728,22616.07336,25,21.25
488.71823,2750,123.0357267,4568.606421,22616.07336,25,21.25
532.6374354,3000,123.0357267,5563.907319,22616.07336,25,21.25
577.9971943,3250,123.0357267,6447.01168,22616.07336,25,21.25
619.564334,3500,123.0357267,7395.85716,22616.07336,25,21.25
488.05179,2500,120.0991247,4582.115788,20791.94482,25,25
535.8316434,2750,120.0991247,5320.370044,20791.94482,25,25
586.1847936,3000,120.0991247,6463.870239,20791.94482,25,25
628.5474304,3250,120.0991247,7659.960121,20791.94482,25,25
683.1364962,3500,120.0991247,8770.321051,20791.94482,25,25
